"condition","medcodeid","term","snomedctconceptid","snomedctdescriptionid","originalreadcode","cleansedreadcode","emiscodecategoryid","observations"
"Wrist fracture","48573010","Open fracture of carpal bone","29014003","48573010","S241","S241.00",32,177
"Wrist fracture","133435011","Open Colles' fracture","80411001","133435011","S2351","S235100",32,5214
"Wrist fracture","136121013","Fracture of carpal bone","82065001","136121013","S24","S24..00",32,13368
"Wrist fracture","318848013","Smith's fracture - closed","208321007","318848013","S2341-1","S234111",32,3688
"Wrist fracture","318849017","Closed Smith's fracture","208321007","318848013","S2347","S234700",32,9059
"Wrist fracture","318851018","Closed volar Barton's fracture","208323005","318851018","S2349","S234900",32,2993
"Wrist fracture","318858012","Closed fracture distal radius, intra-articular, die-punch","208326002","318858012","S234C","S234C00",32,1224
"Wrist fracture","318859016","Closed extraarticular fracture of distal radius","448838000","2902340010","S234D","S234D00",32,5762
"Wrist fracture","318862018","Closed fracture distal radius, intra-articular, other type","17222009","29115016","S234E","S234E00",32,5721
"Wrist fracture","318880010","Smith's fracture - open","208340001","318880010","S2351-1","S235111",32,166
"Wrist fracture","318882019","Open volar Barton's fracture","208342009","318882019","S2359","S235900",32,230
"Wrist fracture","318887013","Open dorsal Barton's fracture","208343004","318887013","S235A","S235A00",32,32
"Wrist fracture","318889011","Open fracture distal radius, intra-articular, die-punch","208345006","318889011","S235C","S235C00",32,57
"Wrist fracture","318890019","Open extra-articular fracture of distal radius","849671000000101","2201831000000117","S235D","S235D00",32,426
"Wrist fracture","318891015","Open intra-articular fracture of distal radius","849681000000104","2201851000000112","S235E","S235E00",32,1043
"Wrist fracture","318916013","Closed fracture of carpal bone, unspecified","9468002","511384012","S2400","S240000",32,353
"Wrist fracture","318917016","Closed fracture hamate, hook","208369005","318917016","S2409","S240900",32,745
"Wrist fracture","318918014","Closed fracture scaphoid, proximal pole","208370006","318918014","S240A","S240A00",32,1608
"Wrist fracture","318919018","Closed fracture scaphoid, waist, transverse","208371005","318919018","S240B","S240B00",32,4414
"Wrist fracture","318920012","Closed fracture scaphoid, waist, oblique","208372003","318920012","S240C","S240C00",32,596
"Wrist fracture","318921011","Closed fracture scaphoid, waist, comminuted","208373008","318921011","S240D","S240D00",32,406
"Wrist fracture","318922016","Closed fracture scaphoid, tuberosity","208374002","318922016","S240E","S240E00",32,2152
"Wrist fracture","318923014","Closed fracture carpal bones, multiple","208375001","318923014","S240F","S240F00",32,1215
"Wrist fracture","318924015","Closed fracture of other carpal bone","9468002","511384012","S240y","S240y00",32,64
"Wrist fracture","318925019","Closed fracture of carpal bone NOS","9468002","511384012","S240z","S240z00",32,342
"Wrist fracture","318926018","Open fracture of carpal bone, unspecified","29014003","48573010","S2410","S241000",32,13
"Wrist fracture","318927010","Open fracture hamate, hook","208379007","318927010","S2419","S241900",32,17
"Wrist fracture","318928017","Open fracture scaphoid, proximal pole","208380005","318928017","S241A","S241A00",32,83
"Wrist fracture","318929013","Open fracture scaphoid, waist, transverse","208381009","318929013","S241B","S241B00",32,84
"Wrist fracture","318930015","Open fracture scaphoid, waist, oblique","208382002","318930015","S241C","S241C00",32,89
"Wrist fracture","318931016","Open fracture scaphoid, waist, comminuted","208383007","318931016","S241D","S241D00",32,52
"Wrist fracture","318932011","Open fracture scaphoid, tuberosity","208384001","318932011","S241E","S241E00",32,110
"Wrist fracture","318933018","Open fracture carpal bones, multiple","208385000","318933018","S241F","S241F00",32,34
"Wrist fracture","318934012","Open fracture of other carpal bone","29014003","48573010","S241y","S241y00",32,7
"Wrist fracture","318935013","Open fracture of carpal bone NOS","29014003","48573010","S241z","S241z00",32,11
"Wrist fracture","318936014","Fracture at wrist and hand level","208388003","318936014","S242","S242.00",32,61845
"Wrist fracture","318940017","Fracture of carpal bone NOS","82065001","136121013","S24z","S24z.00",32,2050
"Wrist fracture","319961016","Closed fracture dislocation of wrist","209264008","319961016","S4C0","S4C0.00",32,8494
"Wrist fracture","319970018","Open fracture dislocation wrist","209273000","319970018","S4C1","S4C1.00",32,549
"Wrist fracture","325417012","[X]Fracture of other carpal bone(s)","82065001","136121013","Syu63","Syu6300",32,602
"Wrist fracture","391354016","Fracture of lower end of radius","263199001","391354016","S23B","S23B.00",32,186747
"Wrist fracture","391366010","Fracture of lower end of both ulna and radius","263208005","391366010","S23C","S23C.00",32,6589
"Wrist fracture","402859019","Closed Colles' fracture","269083002","402859019","S2341","S234100",32,390197
"Wrist fracture","402860012","Closed fracture of distal end of radius","17222009","29115016","S2342","S234200",32,627043
"Wrist fracture","402862016","Open fracture of distal end of radius","25529004","42804019","S2352","S235200",32,5406
"Wrist fracture","451060018","Open Barton's fracture","307712005","451060018","S235F","S235F00",32,153
"Wrist fracture","451061019","Closed Barton's fracture","307713000","451061019","S234F","S234F00",32,2296
"Wrist fracture","485443016","Closed fracture of radius and ulna, lower end","33192001","485443016","S234","S234.00",32,40819
"Wrist fracture","507904017","Open fracture of radius and ulna, lower end","88116004","507904017","S235","S235.00",32,1432
"Wrist fracture","511384012","Closed fracture of carpal bone","9468002","511384012","S240","S240.00",32,19341
"Wrist fracture","1227288016","Closed fracture triquetral","30632004","1227288016","S2403","S240300",32,17273
"Wrist fracture","1228196017","Open fracture hamate","34656006","1228196017","S2418","S241800",32,181
"Wrist fracture","1228300012","Closed fracture trapezoid","357009","1228300012","S2406","S240600",32,1027
"Wrist fracture","1229092011","Closed fracture hamate","37174005","1229092011","S2408","S240800",32,8583
"Wrist fracture","1229331011","Closed fracture lunate","37633006","1229331011","S2402","S240200",32,2763
"Wrist fracture","1229890019","Open fracture trapezoid","42591009","1229890019","S2416","S241600",32,32
"Wrist fracture","1229933018","Closed fracture of the scaphoid","42818005","1229933018","S2401","S240100",32,202674
"Wrist fracture","1230026018","Closed fracture pisiform","43767005","1230026018","S2404","S240400",32,2214
"Wrist fracture","1230102017","Open fracture capitate","44504005","1230102017","S2417","S241700",32,41
