medcodeid,term,snomedctconceptid,snomedctdescriptionid,originalreadcode,cleansedreadcode,observations,emiscodecategoryid
98642019,Hidradenitis suppurativa,59393003,98642019,M25y1-1,M25y111,295899,32
115847018,Hidradenitis,69741000,115847018,M25y1,M25y100,62664,32
3464541000006111,Suppurative hidradenitis,59393003,1231953010,^ESCTSU346454,,59,32
6670471000006113,Axillary hidradenitis suppurativa,402826001,1781918014,^ESCTAX667047,,28,31
3464511000006112,Hidradenitis axillaris,59393003,98643012,^ESCTHI346451,,9,32
6670461000006118,Retro-auricular cysts (hidradenitis),402825002,1781917016,^ESCTRE667046,,3,31
6670491000006114,Vulval hidradenitis suppurativa,402828000,1781920012,^ESCTVU667049,,3,31
6694021000006118,"Follicular occlusion triad - hidradenitis, acne conglobata, dissecting cellulitis of scalp",404175004,1783128011,^ESCTFO669402,,3,31
6670481000006111,Anogenital hidradenitis suppurativa,402827005,1781919018,^ESCTAN667048,,2,31
15017081000006116,Hidradenitis suppurativa of multiple sites,1254915007,5143849018,^ESCT1501708,,1,31
