medcodeid,term,snomedctconceptid,snomedctdescriptionid,originalreadcode,cleansedreadcode,observations,emiscodecategoryid
399917015,Eczema,43116000,71923017,M12z1,M12z100,9995898,32
497341000006116,Atopic dermatitis/eczema,24079001,40423010,M111,M111.00,6948707,32
150503015,Infantile eczema,90823000,150503015,M112,M112.00,1614147,32
1779345010,Infected eczema,400079002,1779345010,M12z2,M12z200,797680,32
251783011,H/O: eczema,161561009,251783011,14F1,14F1.00,736384,32
308485016,Atopic dermatitis,24079001,40423010,M11,M11..00,557693,32
94953018,Flexural eczema,57092006,94953018,M113,M113.00,399497,32
357504010,Hand eczema,238539001,357504010,M12z3,M12z300,367227,32
308497015,Atopic dermatitis NOS,24079001,40423010,M11z,M11z.00,118893,32
477121000006119,Allergic (intrinsic) eczema,24079001,40423010,M114,M114.00,89240,32
889161000006118,Atopic eczema/dermatitis,24079001,889161000006118,M111-98,M111.98,81312,32
309315018,[X]Dermatitis and eczema,43116000,71923017,Myu2,Myu2.00,78831,32
674301000006118,Eczema of nipple,237463009,355885017,26C4,26C4.00,64863,27
545831000006111,Vesicular hand eczema,402222007,1781389017,M2522,M252200,46886,32
512310013,Eczema of external ear,95812002,512310013,F5024-1,F502411,43849,32
980491000006115,Exacerbation of eczema,135843006,216603019,Myu22,Myu2200,34731,32
889191000006114,Atopic eczema/dermatitis NOS,584621000000108,889191000006114,M11z-99,M11z.99,22613,32
6661161000006111,Flexural atopic dermatitis,402183009,1781360019,^ESCTFL666116,,18249,32
195021000006118,Pustular eczema,123700004,192189011,M07y-1,M07y.11,17276,32
1779279014,Erythrodermic eczema,400005007,1779279014,M12z4,M12z400,13959,32
357583018,Neurodermatitis - diffuse,238585003,357583018,M116,M116.00,12294,32
192189011,Pustular eczema,123700004,192189011,M102-1,M102.11,12008,32
2884301000006116,Atopic eczema,24079001,40426019,^ESCTAT288430,,10695,32
89586012,Neurodermatitis,267854005,400074011,M1831,M183100,7675,32
676461000006118,Atopic neurodermatitis,200775004,308491019,M117,M117.00,6792,32
4510851000006113,Dry eczema,135841008,216601017,^ESCTDR451085,,5198,32
4354911000006119,Lichenified eczema,123704008,192193017,^ESCTLI435491,,4093,32
